id,name
1,Samoa
2,Saint Vincent and the Grenadines
3,Tunisia
4,United Arab Emirates
5,Estonia
6,Morocco
7,Switzerland
8,Nepal
9,"Korea, Democratic People""S Republic of"
10,Botswana
